name,ra,dec,hip_number,vmag
HIP 122   ,00 01 35.8510,-77 03 55.060,122,4.78
HIP 154   ,00 01 57.5916,-06 00 50.298,154,4.37
HIP 301   ,00 03 44.3724,-17 20 09.492,301,4.55
HIP 355   ,00 04 30.1224,-10 30 34.180,355,4.99
HIP 443   ,00 05 20.1458,-05 42 28.197,443,4.61
HIP 677   ,00 08 23.1680,+29 05 26.981,677,2.07
HIP 746   ,00 09 10.0897,+59 09 00.785,746,2.28
HIP 765   ,00 09 24.5399,-45 44 49.158,765,3.88
HIP 910   ,00 11 15.9082,-15 28 02.362,910,4.89
HIP 1067  ,00 13 14.1500,+15 11 01.017,1067,2.83
HIP 1168  ,00 14 36.1081,+20 12 24.110,1168,4.79
HIP 1170  ,00 14 38.4327,-18 55 57.671,1170,4.44
HIP 1366  ,00 17 05.5356,+38 40 54.045,1366,4.61
HIP 1473  ,00 18 19.7053,+36 47 07.178,1473,4.51
HIP 1562  ,00 19 25.6830,-08 49 25.786,1562,3.56
HIP 1599  ,00 20 01.9142,-64 52 39.444,1599,4.23
HIP 2021  ,00 25 39.2020,-77 15 18.126,2021,2.82
HIP 2072  ,00 26 12.1162,-43 40 47.674,2072,3.93
HIP 2081  ,00 26 16.8674,-42 18 18.439,2081,2.4
HIP 2210  ,00 27 55.7127,-33 00 25.361,2210,4.86
HIP 2472  ,00 31 24.8561,-48 48 12.822,2472,4.76
HIP 2484  ,00 31 32.5608,-62 57 29.108,2484,4.36
HIP 2487  ,00 31 33.3552,-62 57 55.619,2487,4.53
HIP 2505  ,00 31 46.3179,+54 31 20.369,2505,4.74
HIP 2599  ,00 32 59.9865,+62 55 54.436,2599,4.17
HIP 2912  ,00 36 52.8390,+33 43 09.668,2912,4.34
HIP 2920  ,00 36 58.2670,+53 53 48.954,2920,3.69
HIP 3031  ,00 38 33.4993,+29 18 44.528,3031,4.34
HIP 3092  ,00 39 19.5974,+30 51 40.413,3092,3.27
HIP 3179  ,00 40 30.3872,+56 32 14.673,3179,2.24
HIP 3245  ,00 41 19.5760,-46 05 06.034,3245,4.59
HIP 3300  ,00 42 03.8842,+50 30 45.149,3300,4.8
