ra,dec,phot_g_mean_mag
130531,-89461,63
142316,-89347,78
149134,-89782,78
165924,-89239,75
218865,-89772,55
241468,-89309,77
278382,-89138,78
3144,-88363,72
27302,-88357,80
34642,-88146,80
72262,-88271,61
96697,-88744,73
134313,-88271,78
166621,-88959,79
170130,-88250,73
184687,-88415,66
232067,-88133,64
235023,-88655,70
280478,-88911,76
297407,-88851,79
317202,-88956,54
317849,-88453,80
341381,-88818,65
19153,-87340,73
65327,-87813,74
101744,-87025,64
125073,-87728,75
196975,-87442,76
197086,-87219,80
198837,-87561,70
204590,-87523,76
207493,-87343,77
210649,-87257,80
231062,-87712,73
237270,-87267,77
252773,-87137,78
258985,-87567,63
268973,-87240,73
269672,-87365,72
283693,-87606,49
287791,-87187,78
307095,-87472,79
339248,-87320,71
349073,-87961,72
352017,-87482,51
1906,-86039,74
57615,-86141,80
60688,-86245,79
81526,-86388,76
86042,-86902,80
124069,-86557,68
127112,-86826,78
143259,-86010,77
143320,-86010,70
148718,-86910,68
154878,-86040,78
155052,-86557,77
157705,-86091,66
158575,-86371,79
159581,-86897,73
167169,-86231,59
186409,-86151,60
205109,-86725,74
222760,-86395,71
226235,-86471,74
255244,-86364,60
264844,-86885,75
277118,-86019,80
299620,-86832,79
306552,-86105,73
314313,-86781,76
320473,-86465,75
336943,-86157,79
339153,-86829,72
354807,-86399,79
9291,-85253,77
9683,-85413,79
9925,-85701,64
31878,-85002,80
35420,-85718,77
38926,-85017,69
41216,-85159,76
45805,-85639,73
55638,-85262,66
65374,-85012,77
71567,-85514,77
72641,-85375,80
84995,-85914,65
124620,-85076,76
134164,-85663,53
135222,-85169,78
158523,-85281,73
159419,-85195,78
166554,-85749,73
174399,-85486,74
180581,-85632,56
185459,-85559,80
187305,-85579,80
193748,-85123,56
200127,-85873,69
203879,-85824,71
205226,-85786,55
208371,-85788,78
247666,-85511,76
252275,-85525,77
253727,-85010,75
270392,-85215,63
272561,-85520,78
279722,-85709,80
284423,-85565,69
319505,-85201,67
320778,-85639,63
320917,-85288,79
328592,-85034,63
337904,-85967,55
340736,-85510,75
352318,-85709,72
358204,-85895,79
1519,-84098,79
3332,-84994,49
24368,-84770,54
28926,-84751,62
34855,-84600,67
47288,-84161,77
51955,-84715,78
55514,-84083,76
63445,-84486,72
64001,-84181,67
67320,-84805,68
82558,-84785,62
85745,-84901,78
88598,-84056,79
89947,-84227,78
96302,-84680,71
107910,-84469,75
122528,-84445,68
138640,-84623,76
139192,-84660,68
142994,-84524,78
151406,-84089,75
152985,-84079,77
155837,-84737,77
156559,-84348,71
164804,-84594,62
166938,-84437,75
171322,-84954,75
177269,-84172,80
189002,-84873,80
213389,-84545,65
219026,-84148,66
222971,-84548,80
227787,-84788,59
235827,-84465,55
242548,-84232,75
249252,-84947,79
250672,-84984,78
255577,-84304,67
255815,-84289,79
267967,-84111,75
276252,-84748,76
277027,-84387,65
292230,-84721,75
310644,-84407,69
315668,-84692,74
319860,-84757,77
320788,-84270,79
323014,-84810,60
327925,-84545,77
335510,-84666,55
350224,-84570,74
12547,-83744,78
15803,-83255,77
16286,-83590,71
24606,-83248,70
25733,-83367,71
45236,-83337,80
47474,-83531,75
69194,-83496,68
76830,-83859,67
91989,-83758,78
101557,-83991,74
104938,-83752,71
108330,-83924,72
133751,-83144,80
137672,-83741,73
173208,-83484,78
175253,-83100,60
178608,-83274,79
182789,-83778,73
183085,-83355,73
187252,-83803,66
204990,-83908,71
215317,-83279,79
216726,-83668,39
225462,-83227,54
226195,-83038,53
226243,-83648,79
227392,-83910,77
243230,-83806,79
248125,-83592,78
251475,-83240,60
256893,-83709,74
269437,-83236,71
273517,-83414,80
276442,-83128,79
282790,-83563,74
282992,-83316,68
284542,-83422,70
285560,-83940,75
288055,-83484,71
289257,-83750,79
291439,-83997,80
299539,-83782,74
306230,-83311,61
315136,-83147,68
318981,-83266,72
320553,-83210,71
322840,-83034,69
325902,-83073,73
327660,-83961,76
329191,-83036,71
332516,-83358,70
340001,-83252,66
341407,-83742,78
356907,-83862,76
358461,-83007,61
2508,-82224,50
9470,-82620,77
13640,-82669,76
24350,-82282,73
24486,-82974,57
30156,-82509,80
31183,-82299,80
34777,-82954,75
38759,-82237,73
65712,-82899,67
70830,-82520,70
74712,-82471,56
92004,-82044,72
92255,-82157,76
101290,-82896,75
102472,-82725,74
115015,-82581,69
115485,-82342,72
128595,-82566,68
136948,-82325,75
138458,-82306,78
142416,-82263,76
149833,-82110,80
150182,-82215,55
150837,-82508,70
154548,-82911,64
158629,-82294,77
160600,-82037,79
164571,-82580,75
171916,-82063,80
181204,-82255,80
183405,-82737,76
193801,-82607,80
196633,-82951,74
197116,-82721,79
205109,-82746,80
208911,-82666,54
210776,-82920,68
216091,-82848,64
216240,-82221,80
220369,-82233,78
223284,-82683,71
234430,-82152,74
244555,-82043,79
246753,-82560,65
257465,-82319,72
258228,-82388,73
262183,-82780,66
264259,-82431,73
275102,-82506,72
278505,-82297,78
280275,-82898,75
282673,-82732,77
286639,-82492,80
297179,-82927,70
298147,-82162,76
298295,-82631,80
302397,-82805,80
312943,-82536,76
317345,-82028,68
323478,-82683,63
327405,-82434,70
327730,-82719,52
327736,-82719,73
332076,-82634,77
345714,-82709,75
355985,-82509,75
358026,-82019,49
359185,-82984,74
359386,-82170,54
5351,-81678,75
16715,-81649,71
19179,-81541,76
27402,-81359,71
29159,-81499,68
35531,-81551,72
45059,-81088,78
65242,-81579,57
65472,-81779,78
67819,-81266,73
70753,-81505,78
78108,-81542,62
80538,-81039,77
83913,-81612,70
85792,-81125,80
91772,-81063,71
93007,-81549,79
93697,-81012,80
101917,-81065,67
116310,-81968,75
116876,-81596,68
117448,-81205,77
121924,-81609,75
138102,-81768,74
141924,-81840,73
142374,-81222,79
144586,-81709,65
146852,-81061,69
149260,-81579,79
151028,-81565,63
155060,-81648,74
156032,-81541,77
157050,-81061,74
157128,-81056,73
157965,-81921,70
158123,-81616,71
158219,-81163,78
164801,-81556,72
165758,-81622,78
166838,-81793,74
183014,-81065,77
183719,-81194,76
196121,-81150,69
200740,-81311,77
210471,-81936,74
213216,-81542,78
214557,-81008,48
216020,-81333,76
229769,-81243,74
230928,-81885,75
239445,-81525,75
246942,-81962,70
256211,-81086,75
262728,-81612,67
263679,-81068,76
269539,-81454,72
271363,-81487,58
272495,-81417,79
273793,-81842,79
278017,-81348,73
280561,-81808,63
287926,-81413,75
290462,-81795,78
293181,-81531,77
293749,-81753,64
299008,-81350,59
302404,-81441,64
308555,-81593,79
309224,-81220,79
309578,-81289,51
316348,-81397,76
323698,-81927,77
341513,-81382,40
356208,-81927,77
1005,-80395,79
2903,-80174,70
9951,-80656,77
19105,-80055,72
25410,-80052,79
26243,-80186,66
26942,-80177,60
45512,-80035,78
51422,-80670,78
52140,-80709,74
60973,-80890,78
61684,-80737,78
64498,-80214,54
72023,-80779,80
77608,-80408,75
77898,-80193,76
83749,-80853,79
84300,-80464,55
87369,-80136,80
100012,-80813,56
102628,-80136,80
103928,-80838,73
117412,-80920,79
122664,-80586,80
126079,-80913,54
128399,-80159,66
131167,-80674,80
140160,-80389,72
141035,-80786,52
143471,-80941,51
144478,-80350,80
147753,-80061,65
154302,-80923,77
158486,-80516,71
161318,-80470,60
161445,-80540,44
161666,-80661,76
161687,-80437,80
162501,-80933,80
164235,-80490,76
166758,-80464,76
173423,-80251,80
175903,-80483,66
179316,-80495,75
183290,-80828,73
183935,-80785,79
185339,-80062,76
192384,-80702,72
197279,-80114,77
202259,-80257,78
204051,-80739,79
208378,-80273,76
212018,-80764,76
215596,-80109,50
217352,-80345,80
217357,-80103,79
219644,-80736,79
227125,-80314,68
231135,-80441,80
239648,-80756,73
244245,-80800,69
245591,-80746,69
245901,-80252,79
254546,-80073,77
262864,-80859,47
275092,-80239,71
277333,-80233,56
284000,-80728,66
296227,-80089,65
301711,-80600,78
307822,-80544,75
308324,-80965,54
309658,-80007,77
312405,-80134,76
316685,-80699,72
319285,-80345,78
320568,-80114,74
321646,-80682,80
323061,-80076,79
323339,-80039,65
323926,-80867,78
327189,-80385,74
335009,-80440,33
342596,-80124,53
348053,-80913,58
348993,-80760,76
352990,-80828,70
1343,-79253,74
2519,-79002,78
4064,-79851,64
4455,-79232,78
21966,-79041,77
23305,-79927,72
25341,-79148,61
25549,-79913,79
33974,-79193,78
37922,-79110,50
38259,-79036,77
39214,-79814,74
44022,-79592,75
54104,-79099,66
60739,-79845,71
64776,-79521,69
69315,-79459,77
87570,-79361,54
95224,-79067,70
104144,-79420,54
107377,-79432,78
110400,-79164,72
111408,-79094,51
113018,-79096,79
119463,-79633,71
120184,-79157,73
123757,-79319,70
130083,-79674,80
130436,-79048,74
130800,-79070,60
131479,-79504,51
137701,-79359,78
141169,-79075,78
144851,-79748,80
145757,-79591,70
151305,-79062,73
153489,-79004,77
159605,-79510,78
160464,-79783,59
163119,-79559,59
164990,-79950,74
166085,-79557,80
169172,-79265,78
169644,-79669,63
170385,-79665,79
175732,-79306,62
184586,-79312,42
185436,-79467,75
188077,-79784,71
198650,-79194,78
199701,-79976,63
202365,-79118,66
203044,-79661,62
203173,-79075,73
206313,-79768,73
211944,-79252,76
215658,-79716,65
218443,-79955,63
221583,-79120,73
221965,-79045,34
227579,-79613,73
228233,-79719,79
228865,-79137,65
231946,-79306,73
233989,-79086,75
238168,-79404,77
242505,-79035,76
245429,-79832,80
248315,-79393,80
250720,-79024,63
254566,-79717,73
260396,-79065,74
265740,-79478,78
266827,-79287,76
276571,-79927,65
276740,-79270,68
279260,-79629,78
284601,-79133,79
285611,-79215,75
287792,-79490,78
288856,-79029,80
301521,-79423,80
302563,-79110,70
302768,-79242,75
304125,-79006,78
305430,-79598,76
305978,-79051,75
306904,-79394,78
311337,-79090,76
311901,-79854,73
317388,-79274,78
322211,-79926,71
324737,-79443,61
327686,-79547,80
329348,-79721,71
343749,-79720,79
343807,-79438,80
347102,-79481,61
349787,-79472,61
357728,-79899,79
1998,-78211,73
2001,-78599,72
2534,-78301,65
4203,-78780,67
11148,-78082,63
22809,-78961,77
22961,-78069,72
23413,-78505,59
28963,-78348,61
29455,-78764,76
29485,-78509,80
30241,-78871,67
30927,-78697,80
46870,-78992,80
46886,-78989,56
48451,-78827,77
51301,-78666,75
52495,-78352,55
54125,-78323,60
60617,-78633,63
64774,-78039,76
67791,-78633,79
68237,-78128,68
73260,-78402,79
75055,-78300,57
75425,-78183,75
79327,-78446,79
83901,-78821,60
88033,-78588,74
91158,-78559,76
97158,-78905,75
107408,-78942,78
109032,-78318,72
113105,-78086,80
114387,-78365,77
115080,-78387,66
122037,-78695,68
127211,-78926,74
130331,-78963,54
131049,-78864,79
134852,-78093,71
146905,-78566,79
147287,-78282,77
156447,-78598,79
158866,-78608,34
171820,-78522,73
176299,-78822,79
179906,-78222,52
180020,-78193,66
181772,-78741,74
182281,-78781,68
183485,-78574,60
188082,-78194,77
188716,-78298,80
193539,-78037,74
197084,-78446,64
198572,-78447,55
199598,-78823,70
200489,-78179,63
201287,-78953,78
201314,-78054,78
208361,-78625,73
210136,-78590,61
216477,-78458,65
216816,-78620,64
217474,-78157,77
217807,-78798,77
223199,-78849,77
223914,-78883,74
