ra,dec,phot_g_mean_mag
73096,-89274,88
73472,-89347,89
122888,-89004,83
134626,-89831,85
142344,-89016,85
162972,-89433,87
263555,-89229,87
12223,-88415,87
42996,-88548,85
52427,-88246,81
76905,-88870,87
92012,-88375,87
102802,-88534,85
110893,-88852,85
119998,-88606,86
128883,-88246,86
156800,-88151,89
160388,-88332,83
167076,-88350,81
213691,-88771,87
222692,-88328,90
224968,-88377,85
225944,-88226,85
241669,-88527,86
243519,-88011,87
247734,-88585,87
276513,-88338,87
281954,-88776,84
309386,-88111,88
341779,-88325,89
356838,-88284,89
2791,-87414,87
5193,-87667,86
15982,-87215,88
44557,-87321,82
49373,-87216,90
59374,-87488,84
62746,-87195,90
75411,-87391,90
85760,-87998,90
95418,-87549,85
95924,-87720,89
104719,-87305,85
110708,-87533,85
111949,-87477,90
118417,-87456,85
138073,-87471,90
140125,-87167,90
142304,-87237,82
142471,-87945,83
146129,-87226,81
154375,-87728,83
155847,-87156,90
173892,-87270,87
178999,-87403,87
193468,-87456,84
202293,-87206,90
210571,-87615,82
226514,-87174,82
226583,-87242,87
233997,-87630,84
236179,-87777,85
236756,-87185,83
244849,-87557,83
247692,-87757,90
252619,-87523,89
256807,-87297,82
258285,-87859,87
259999,-87243,90
261823,-87885,90
303447,-87824,83
320738,-87049,88
320801,-87053,87
323445,-87187,82
336245,-87264,83
337442,-87505,84
349794,-87037,90
349986,-87556,87
8823,-86705,87
16290,-86625,85
16899,-86160,86
25040,-86689,89
44333,-86702,89
52246,-86115,87
62659,-86785,81
62710,-86194,86
64938,-86927,84
78482,-86115,88
88017,-86075,81
88042,-86735,81
88073,-86394,83
89088,-86290,84
102461,-86933,89
108518,-86251,85
113565,-86772,82
117712,-86602,82
125361,-86376,84
133307,-86562,82
144281,-86512,89
155495,-86902,89
172381,-86992,89
181751,-86760,88
202191,-86450,90
205237,-86652,84
207564,-86629,86
231765,-86792,85
236230,-86701,85
246859,-86044,90
257537,-86204,85
257621,-86383,85
264942,-86769,85
265538,-86135,88
272186,-86799,88
272400,-86639,90
278658,-86663,86
282284,-86196,81
283433,-86498,89
287084,-86014,81
294633,-86490,87
309550,-86243,84
310399,-86104,88
310961,-86287,84
322785,-86146,90
323375,-86794,82
328760,-86111,86
332181,-86487,90
333283,-86479,82
333377,-86350,90
336667,-86656,84
343187,-86308,89
345820,-86375,83
11097,-85892,82
16895,-85295,88
17570,-85687,89
23506,-85936,86
25489,-85795,83
28244,-85035,83
31354,-85080,83
33009,-85697,89
35006,-85786,88
40534,-85858,83
46231,-85272,90
51377,-85291,87
54330,-85279,87
54893,-85195,86
55632,-85262,81
68939,-85050,87
72272,-85913,87
77851,-85047,88
77996,-85684,90
90165,-85682,85
91103,-85525,89
92716,-85063,82
99880,-85329,90
99922,-85885,88
101238,-85161,88
104274,-85417,87
106893,-85026,84
114101,-85436,87
115002,-85425,83
115360,-85916,81
117949,-85032,88
120555,-85406,82
120586,-85691,87
134069,-85489,90
134469,-85749,86
136156,-85391,83
149862,-85954,90
151580,-85384,87
151844,-85074,84
153693,-85244,88
155559,-85375,82
158271,-85392,82
159116,-85294,86
167000,-85918,87
168516,-85967,89
170180,-85350,88
176747,-85108,82
180558,-85265,83
180632,-85637,89
180771,-85896,90
181674,-85780,81
184778,-85491,82
185459,-85010,89
195053,-85337,85
196291,-85370,82
196793,-85150,88
198934,-85561,83
208564,-85959,85
211644,-85382,85
212683,-85837,85
218632,-85833,88
219538,-85294,85
223958,-85583,87
227187,-85134,90
228041,-85164,89
229928,-85680,85
